#championsleague i am cmng to watch you...all matches in hyd #feelinghappy hope #mumbaiindians comes to hyd...catch me in #southextension	joy	anticipation	trust
#mufc wages up19% in13/14 season with #dimaria #falcao #herrera #rojo and others joining where will @manutd be without #epl top 4 and #ucl?	anticipation	fear	
#sterlings getting some great experience here. i'm sure he'll learn from it and it will help for the #ucl	joy	trust	anticipation
ah saturday morning. all it took was a cup of tea and a word processor to make it great. #writinglife	joy	trust	
aint nothing worse than waking up with no hoes! you check yo phone and ain't nothing there but 100% battery life 😩😩😭	sadness	disgust	
all new android wear watches run a only a day on battery, isn't that a bit of a pain?	disgust	surprise	sadness
almost went through half my battery life and still have six more hours of my shift 😩🆘	fear	sadness	
also her boobs are so big that the iphone camera face recognition thought it was another face.	surprise	joy	
an hour and a half left of work and my battery life is #dwindling 😱😓	fear	sadness	
an ios companion app for the android wear watches would be awesome. they've managed that with glass before #o14	anticipation	trust	surprise
android auto, android tv, and android wear - google's ecosystem is growing up!  via @googleio #open #marketshare	joy	trust	surprise
android l's claim to better battery life rests almost fully on developers.	fear	anticipation	
android needs to put a flash on the front camera.  talk about the perfect selfie.  @samsung	anticipation	trust	
another broken iphone!! 😔 next phone is definitely a samsung!!!	sadness	anger	
anyone else noticing significantly worse iphone battery life since the last update, or is my phone just special?	fear	sadness	
apple officially announce the imminent release of the new iphone by drastically reducing our current battery life!	anger	disgust	sadness
apple, if the iwatch will not be able to take calls and annunciate imessages from it, i don't want it.	fear	disgust	
battery life on my 4s seems to have taken a major nosedive in the last few months. can’t even make it through the day when staying at home.	sadness	anger	fear
beats pills... xl. 15 hours battery life...300 at best buy.😂😂😂	joy	surprise	
best thing about the note 3, the battery life last way longer than iphones	trust	joy	
big xiaomi fan, was looking forward to it @sharmashradha @yourstoryco	anticipation	joy	
blow your girls phone up all day so she won't have enough battery life to text other niggaz	fear	disgust	
budgeting the battery life of my 3ds, my laptop and my iphone since there won't be any chance of electricity soon	fear	anticipation	sadness
by the way, if you doodle iwatch mock-ups, you’re a dork. a complete mega-dork who deserves an atomic wedgie.	disgust	anger	surprise
catchup on @itvcorrie on mums samsung tablet giant version of my s4 love it!! @samsung #samsung	joy	trust	
chromebook so far: it takes 2 seconds to load up (cool), i hate being tied to a google account (i'm a rare creature). battery life = win.	joy	trust	ambiguous
covering for a coworker who called in 2day..i didn't budget my battery life this morning for this. #iphone5s #dimscreen	fear	sadness	
does anybudy else's battery life suck for the iphone? mine dies so quickly grrrrrr	anger	fear	
dont kno bout that iphone 6 now.. samsung just shit on apple with them two releases yesterday.. smh.. #note4 & #someothershit look good too!	sadness	anticipation	fear
dreamt a scary doll was watching me through my iphone and mac camera then sending me really mean txts - what's wrong with me?	fear	surprise	sadness
dropped my phone and now my camera doesn't work.  great!  my iphone still worked after i dropped it, the screen just cracked. #backtoiphone?	sadness	anger	
even with android wear, it still not a good idea to buy the first lot. buy the second gen ones to avoid surprises.	trust	fear	ambiguous
finally! #motorola announces the moto 360 smartwatch for the indian market. it runs android wear.	anticipation	joy	fact
first n probably last time av left the house with 100% battery life 🙌	surprise	fear	joy
football season, when my cell phone battery life drops to zero.	fear	fact	sadness
fuck la better change to iphone or a better samsung. srsly sia	anger	sadness	
fuck this battery life i'm always outta apple juuuuiceeeee🔋🔌	anger	sadness	
fucking hell that game was intense, we had an open nexus & still won	joy	surprise	trust
fundamental flaw with all these smart watches and android wear stuff. why would anyone want stuff on their wrist to keep buzzing?!	disgust	fear	anticipation
geeks who missed the #google io are crying on the news of the android wear distribution! i may be one of them !	fear	surprise	sadness
god gave you a crazy processor in your noggin for a reason. use it!	disgust	anticipation	anger
gonna buy the nexus 7 32gb with my savings of the last three years :)	joy	anticipation	
gotta save battery life.. they don't like niggas out here! ✌️text me	fear	anticipation	
guys help out plzzzzz got an upgrade on my phone coming up	fear	anticipation	
has anyone done a launch price analysis of the xiaomi phones? between successive generations? doing it while travelling it a bit tough	sadness	fear	anticipation
haven't charged my phone all day and it's still at 30%... where was this battery life during school?	surprise	joy	anger
havnt charged my phone all day and its barely dying. gotta love my phones battery life👌	surprise	joy	trust
hehe. my dad uses lg , sis uses iphone , mama uses htc and me samsung. yeah.	joy	trust	sarcasm
help.......major decision........samsung or iphone. ..........????	sadness	fear	
highlights of #io14 for me were android one and android wear. for the rest, i'm left fully confused with too many questions...	fear	sadness	
holy shit someone should make a vx1000 type filter or emulation for iphone or for really any camera #vx1000 #ideas #milliondollaridea	surprise	joy	
how can the battery life on my phone go from 100% to 60% in 20 minutes 😩	sadness	surprise	
how does fracking affect my iphone, laptop and camera ! if you tell me i won't be able to breathe i won't believe/care #hackthefrack	anger	fear	
i am getting a new phone this week. .. no more samsung.  hello iphone!!!! #turncoat	joy	anticipation	
i can't wait to get rid of my piece of 💩 iphone and switch to samsung 🙌	anticipation	joy	
i don't understand how snapchat got front camera flash and the iphone doesn't 😒	sadness	anger	surprise
i guess the nexus 5 is a great phone if you're easily impressed.	disgust	sarcasm	
i have no fags, no money, no key, no battery life, it's starting to rain and i feel so sad	sadness	anger	
i have to go to bed to conserve my battery life	sadness	fear	
i just realized i can totally write a @fennecnightly add-on to put content in my android wear. i shouldn't have left my laptop at home!	surprise	disgust	anger
i regret the day i bought this iphone :/ i dropped it twice ,my camera aint working	disgust	sadness	anger
i think i might leave the iphone (again) for android (again) just to use l, looks so fly and the nexus 5 is beautiful.	fear	anticipation	sadness
i wanna make youtube videos and stuff but that would require a better camera than an iphone, money, and effort...	sadness	fear	
i want #lgg3ph simply because of its incredible features like great camera, long battery life, sleek design. @lgphilippines	anticipation	trust	joy
i want #lgg3ph simply because of its loooongest battery life ever! perfect for outdoors and adventures.	anticipation	trust	joy
i want #lgg3ph simply because of its vast battery life, lte connection & light metallic sleek design that everyone yearns for @lgphilippines	anticipation	trust	joy
i want aiden pierce's phone. waterproof, infinite battery life. @watchdogsgame	anticipation	trust	
i will never buy nokia again (microsoft), this is my second broken phone in one year. going to samsung ativ se or iphone @nokia @nokiaus	disgust	sadness	anticipation
i will not be satisfied with any phone until it has a never ending battery life	sadness	disgust	
